ASLI	ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC	ORD 1P	GB00BD9PXH49	SHRS	Shares	Financials	Financial Services	15/12/2017	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ASL	ABERFORTH SMALLER COMPANIES TRUST PLC	ORD 1P	GB0000066554	SHRS	Shares	Financials	Financial Services	31/10/2003	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	STMM	F25F
ASIT	ABERFORTH SPLIT LEVEL INCOME TRUST PLC	ORD 1P	GB00BYPBD394	SHRS	Shares	Financials	Financial Services	03/07/2017	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ASIZ	ABERFORTH SPLIT LEVEL INCOME TRUST PLC	ZDP 1P	GB00BYPBD519	SHRS	Shares	Financials	Financial Services	03/07/2017	United Kingdom	GBX	MAIN MARKET	Standard Shares	SSQ3	SQS3
ABZA	ABZENA PLC	ORD GBP0.002	GB00BN65QN46	SHRS	Shares	Health Care	Health Care	10/07/2014	United Kingdom	GBX	AIM		ASQ1	AMQ1
ACA	ACACIA MINING PLC	ORD 10P	GB00B61D2N63	SHRS	Shares	Basic Materials	Basic Resources	19/03/2010	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
ACC	ACCESS INTELLIGENCE PLC	ORD 0.5P	GB0033835264	SHRS	Shares	Technology	Technology	01/12/2003	United Kingdom	GBX	AIM		ASX1	AIMP
ACSO	ACCESSO TECHNOLOGY GROUP PLC	ORD 1P	GB0001771426	SHRS	Shares	Technology	Technology	24/04/2002	United Kingdom	GBX	AIM		ASQ1	AMQ1
ACRL	ACCROL GROUP HOLDINGS PLC	ORD GBP0.001	GB00BZ6VT592	SHRS	Shares	Consumer Goods	Personal & Household Goods	10/06/2016	United Kingdom	GBX	AIM		ASQ1	AMQ1
AXS	ACCSYS TECHNOLOGIES PLC	ORD EUR0.05	GB00BQQFX454	SHRS	Shares	Industrials	Construction & Materials	12/09/2014	United Kingdom	GBX	AIM		SSMU	AIMF
ACD	ACENCIA DEBT STRATEGIES LTD	ORD NPV	GB00B0MSB420	SHRS	Shares	Financials	Financial Services	24/11/2005	Guernsey	USD	MAIN MARKET		SET3	ON15
ACIA	ACER INCORPORATED	GDR (REPR 5 SHS COM STK TWD10)(144A)	US0044341065	DPRS	Depositary receipts	Technology	Technology	27/03/2002	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPE
ACID	ACER INCORPORATED	GDR (REPR 5 SHS COM STK TWD10)(REG S)	US0044342055	DPRS	Depositary receipts	Technology	Technology	27/09/2004	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBE	IPHE
