3GOL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 3X LEVERAGE DAILY ETP	IE00B8HGT870	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3GOS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 3X SHORT DAILY ETP	IE00B6X4BP29	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3HCL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST COPPER 3X LEVERAGE DAILY ETP	IE00B8JVMZ80	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3HCS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST COPPER 3X SHORT DAILY ETP	IE00B8KD3F05	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3LGO	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 3X LEVERAGE DAILY ETP (£)	IE00B8HGT870	ETCS			13/03/2013		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3LGS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NATURAL GAS 3X SHORT DAILY	IE00B76BRD76	ETCS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
3LNG	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NATURAL GAS 3X LEVERAGE DAILY	IE00B8VC8061	ETCS			15/03/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
3LOI	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 3X LEVERAGE DAILY ETP (£)	IE00B7ZQC614	ETCS			13/03/2013		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3LSI	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SILVER 3X LEVERAGE DAILY ETP (£)	IE00B7XD2195	ETCS			13/03/2013		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3NGL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NATURAL GAS 3X LEVERAGE DAILY ETP	IE00B8VC8061	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3NGS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NATURAL GAS 3X SHORT DAILY ETP	IE00B76BRD76	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
