3i:	III
Moss Bros Group:	MOSB
Mulberry (company):	MUL
National Express:	NEX
National Grid plc:	NG.
NB Global:NEX Group:	NXG
Next plc:	NXT
Nichols plc:	NICL
NMB Bank Limited:	NMB
NMC Health:	NMC
Nomad Foods:	0RMO
Northgate (company):	NTG
Nostrum Oil & Gas:	NOG
Novae Group:Novolipetsk Steel:	NLMK
OAO TMK:	TMKS
Ocado:	OCDO
Octagonal (company):	OCT
Oil and Gas Development Company:	OGDC
Old Mutual:	OMU
Ooredoo:	ORDS
Ophir Energy:	OPHR
Oxford Instruments:	OXIG
Pacific Horizon Investment Trust:	PHI
PageGroup:	PAGE
Paragon Banking Group:	PAG
PayPoint:	PAY
Pearson plc:	PSON
Pendragon PLC:	PDG
Pennon Group:	PNN
Persimmon plc:	PSN
Personal Assets Trust:	PNL
Petra Diamonds:	PDL
Petrofac:	PFC
Pets at Home:	PETS
Phoenix Group:	PHNX
Playtech:	PTEC
Polymetal International:	POLY
Polypipe:	PLP
POSCO:	PIDD
Premier Foods:	PFD
Premier Oil:	PMO
Primary Health Properties:	PHP
Providence Resources:	PVR
Provident Financial:	PFG
Prudential plc:	PRU
Purecircle:	PURE
PV Crystalox Solar:	PVCS
PZ Cussons:	PZC
Qinetiq:	QQ.
The Quarto Group:	QRT
Quilter plc:	QLT
Randgold Resources:	RRS
The Rank Group:	RNK
Rathbone Brothers:	RAT
Raven Property Group:	RUS
Reckitt Benckiser:	RB.
Redrow plc:	RDW
RELX Group:	REL
Renewi:	RWI
Renishaw plc:	RSW
Rentokil Initial:	RTO
Restaurant Group:	RTN
Rightmove:	RMV
Rio Tinto Group:	RIO
Rockhopper Exploration:	RKH
Rolls-Royce Holdings:	RR.
Rosneft:	ROSN
Rotork:	ROR
Royal Bank of Scotland Group:	RBS
Royal Dutch Shell:	RDSA
RPC Group:	RPC
RPS Group:	RPS
RSA Insurance Group:	RSA
SafeCharge International:	SCH
Safestore:	SAFE
Sage Group:	SGE
Sainsbury's:	SBRY
St. Modwen Properties:	SMP
Samsung Electronics:	SMSN
San Leon Energy:	SLE
Savills:	SVS
Schroder AsiaPacific Fund:	SDP
Schroders:	SDR,SDRC
Scottish American Investment Company:	SCAM
SSE plc:	SSE
Scottish Mortgage Investment Trust:	SMT
ScS:	SCS
SDL plc:	SDL
Segro:	SGRO
Senior plc:	SNR
Serco:	SRP
Servelec:Severfield:	SFR
Severn Trent:	SVT
Shaftesbury plc:	SHB
Shire (pharmaceutical company):	SHP
SIG plc:	SHI
Sinopec:	SNP
Sistema:	SSA
Smith & Nephew:	SN
DS Smith:	SMDS
Smiths Group:	SMIN
SOCO International:	SIA
SolGold:	SOLG
South32:	S32
Spectris:	SXS
Speedy Hire:	SDY
Spirax-Sarco Engineering:	SPX
Spirent:	SPT
Sports Direct:	SPD
St. James's Place plc:	STJ
Stagecoach Group:	SGC
Standard Chartered:	STAN
Standard Life Aberdeen:	SLA
Starcom Systems:	STAR
Stock Spirits:	STCK
Superdry:	SDRY
Sureserve:	SUR
Synergy Health:	SYR
Synthomer:	SYNT
TalkTalk Group:	TALK
Taptica:	TAP
Tate & Lyle:	TATE
Taylor Wimpey:	TW.
Ted Baker:	TED
Telecom Plus:	TEP
Tesco:	TSCO
Tesco International operations:	TSCO
Tesco Venture Brands:Tex Holdings:	TXH
Thomas Cook Group:	TCG
Tinkoff Bank:	TCS
Topps Tiles:	TPT
TP ICAP:	TCAP
Trader Media East:Travis Perkins:	TPK
Tungsten Network:	TUNG
UDG Healthcare:	UDG
UK Oil and Gas:	UKOG
Ultra Electronics:	ULE
Ultrasis:	ULT
Unilever:	ULVR
Unite Students:	UTG
United Utilities:	UU.
Utilico Emerging Markets:Vedanta Resources:	VED
Vesuvius plc:	VSVS
Victrex:	VCT
Vivo Energy:	VVO
Vodafone:	VOD
WANdisco:	WAND
Weir Group:	WEIR
Wetherspoons:	JDW
Whitbread:	WTB
WHSmith:	SMWH
William Hill (bookmaker):	WMH
Wizz Air:	WIZZ
Wolfson Microelectronics:	WLF
Workspace Group:	WKP
WPP plc:	WPP
X5 Retail Group:	FIVE
Xaar plc:	XAR
Zenith Bank:	ZETB
Category:Companies formerly listed on the London Stock Exchange:Category:Companies listed on the Alternative Investment Market:Category:888 Holdings:Category:BHP:Category:First Group:Category:GVC Holdings:Category:Israeli companies listed on the London Stock Exchange:Category:Rio Tinto Group:Category:Stanley Gibbons:Category:Swire Group:
